# Jugadores BSC 2026 (players_catalog)
# BrawlForge — edita en Excel o Google Sheets. Guarda como CSV UTF-8.
# Las filas que empiezan por # y las filas _ayuda / _ejemplo NO se importan.
# En listas usa el carácter | entre valores (ej. jugador1|jugador2).
slug,ign,real_name,team_slug,region,role,status,fantasy_points,fantasy_ownership,rating,bio,photo_url,previous_teams
fire-murilo,Fire Murilo,,acre-lovers,SA,Player,active,96,43,1.1400000000000001,,,
firecrow,FireCrow,Raphael Lucca,loud,SA,Player,active,77,29,1.07,,,
galaxy,Galaxy,,ace-xero,EA,Player,active,83,61,1.08,,,
gero,GeRo,Łukasz Gerek,natus-vincere,EMEA,Player,active,96,22,1.17,,,
ghost-t,Ghost T,,skcalalas-ea,EA,Player,active,65,18,1.26,,,
golden,Golden,Pedro Henrique Fernandes Barreto,olimpo-squad,SA,Player,active,70,26,1.24,,,
guesti,Guesti,Михайло Чернов,fut-esports,EMEA,Player,active,94,10,1.08,,,
hiroshii,Hiroshii,Lim Vi Rey,revenant-xspark,EMEA,Player,active,87,57,1.17,,,
i-see,I see,,fennel,EA,Player,active,84,14,1.25,,,
ikaoss,iKaoss,Ruben del Álamo Expósito,team-heretics,EMEA,Player,active,67,58,1.11,,,
jene-azure,Jene Azure,,insomnia,EA,Player,active,68,19,1.2,,,
joker,Joker,Erik Bravo Granström,totem-esports,EMEA,Player,active,96,64,1.12,,,
juan-carlos,Juan Carlos,Juan Carlos Castelán Parra,skcalalas,SA,Player,active,82,17,1.06,,,
jubileu,Jubileu,Jean Pablo Gonçalves Santos,eternal-esports,SA,Player,active,62,61,1.17,,,
kaiodog,KaioDog,Kaio Bernardo Dos Santos,loud,SA,Player,active,69,35,1.26,,,
kapi,Kapi,,f-a-homeless,NA,Player,active,93,59,1.04,,,
ken-g,Ken-G,Kenji Oda,fennel,EA,Player,active,63,25,1.19,,,
koga,Koga,,insomnia,EMEA,Player,active,65,72,1.06,,,
kristian,Kristian,Cristian Daniel,skcalalas,SA,Player,active,72,50,1.22,,,
kuru,Kuru,,skcalalas-ea,EA,Player,active,67,64,1.18,,,
levi,Levi,,reject,EA,Player,active,69,27,1.05,,,
lukii,Lukii,Luke Pies,hmble,EMEA,Player,active,94,71,1.05,,,
lxffy,Lxffy,Kevin Jomar Calderon Velez,tribe-gaming,NA,Player,active,95,61,1.26,,,
marco,Marco,,team-heretics,EMEA,Player,active,92,8,1.18,,,
maru,Maru,Marwane Lahrache,totem-esports,EMEA,Player,active,74,61,1.15,,,
maury,Maury,Maurizio Tunno,totem-esports,EMEA,Player,active,90,55,1.16,,,
melty,Melty,,reject,EA,Player,active,67,21,1.28,,,
memen,Memen,Jesus Emmanuel,team-elektros,NA,Player,active,62,48,1.13,,,
meow,MeOw,Piotr Urzędowski,novo-esports,EMEA,Player,active,82,25,1.08,,,
milkreo,Milkreo,,crazy-raccoon,EA,Player,active,94,25,1.08,,,
mira,Mira,,frenzy-esports,EA,Player,active,77,53,1.23,,,
mohtep,Mohtep,Raul Zacheu De Souza,eternal-esports,SA,Player,active,75,73,1.23,,,
moya,Moya,,crazy-raccoon,EA,Player,active,75,70,1.21,,,
nagi,Nagi,,ace-xero,EA,Player,active,77,32,1.18,,,
naipishu,Naipishu,,skcalalas-ea,EA,Player,active,82,25,1.26,,,
nob,Nob?,Տիգրան Հարությունյան,fut-esports,EMEA,Player,active,76,55,1.12,,,
nowy297,Nowy297,Damian Nowakowski,team-heretics,EMEA,Player,active,77,23,1.23,,,
ope,Ope,Alexis Mangelle,sk-gaming,EMEA,Player,active,91,13,1.07,,,
ou,OU,王伟,toxic-lotus,EA,Player,active,85,68,1.16,,,
patchy,Patchy,Alexander Voigtlander,only-realm,NA,Player,active,76,17,1.19,,,
pekka,Pekka,Gustavo Sandoval,olimpo-squad,SA,Player,active,96,51,1.22,,,
portox,Portox,Santiago Bellochi,bounty-hunters-esports,SA,Player,active,76,65,1.09,,,
prozy,Prozy,Julio Torres,bounty-hunters-esports,SA,Player,active,62,15,1.18,,,
rafiki,Rafiki,,legacy-esports,NA,Player,active,77,60,1.24,,,
rbm,RBM,Baltazar Rodriguez Moreno,tribe-gaming,NA,Player,active,63,68,1.24,,,
rhz,Rhz,,skcalalas,SA,Player,active,87,73,1.18,,,
ryohei,Ryohei,,rival-esports,EA,Player,active,88,35,1.05,,,
salty,Salty,Jirí Vilímovský,big,EMEA,Player,active,74,20,1.25,,,
sans,Sans,Curtis Whitaker,only-realm,NA,Player,active,89,66,1.1,,,
satisfyer,Satisfyer,,acre-lovers,SA,Player,active,76,68,1.27,,,
sennin,Sennin,,acre-lovers,SA,Player,active,78,36,1.15,,,
sergeant-clash,Sergeant Clash,अश्मित राज सिंह,revenant-xspark,EMEA,Player,active,94,53,1.24,,,
shu,Shu,,reject,EA,Player,active,63,28,1.04,,,
sitetampo,Sitetampo,,zeta-division,EA,Player,active,66,20,1.15,,,
sizuku,Sizuku,,zeta-division,EA,Player,active,95,50,1.22,,,
snoiy,Snoiy,Gurshan Brar,team-elektros,NA,Player,active,69,73,1.25,,,
symantec,Symantec,Bekri Tahiri,hmble,EMEA,Player,active,78,67,1.22,,,
tensai,Tensai,,crazy-raccoon,EA,Player,active,71,19,1.08,,,
terry,Terry,나성연,novo-esports,EMEA,Player,active,73,54,1.09,,,
toc,TOC,叶温利,toxic-lotus,EA,Player,active,68,9,1.1400000000000001,,,
toridesu,Toridesu,,frenzy-esports,EA,Player,active,75,20,1.22,,,
totoron,Totoron,,rival-esports,EA,Player,active,72,33,1.26,,,
tyrant,Tyrant,Nehal Alam,f-a-homeless,NA,Player,active,91,73,1.08,,,
wahochi,Wahochi,,insomnia,EA,Player,active,86,54,1.09,,,
walkthrough,Walkthrough,,revenant-xspark,EMEA,Player,active,93,65,1.11,,,
wesley,Wesley,Wesley Izalino Da Silva,bounty-hunters-esports,SA,Player,active,67,23,1.13,,,
xemp,Xemp,,f-a-homeless,NA,Player,active,79,20,1.25,,,
yoshi,Yoshi,David Cayetano Gómez,sk-gaming,EMEA,Player,active,88,25,1.09,,,
yuffy,Yuffy,Yusuf,kebap,EMEA,Player,active,80,8,1.26,,,
yutapin,Yutapin,,rival-esports,EA,Player,active,95,66,1.11,,,
zee,Zee,,vatic-esports,NA,Player,active,66,32,1.12,,,
zeus,Zeus,,legacy-esports,NA,Player,active,62,15,1.23,,,
zoulan,Zoulan,Sebastian Andrés Perez,legacy-esports,NA,Player,active,62,72,1.23,,,
iro,Ćiro,Jovan Ćirović,metizport,EMEA,Player,active,67,44,1.18,,,
