# Jugadores BSC 2026 (players_catalog)
# BrawlForge — edita en Excel o Google Sheets. Guarda como CSV UTF-8.
# Las filas que empiezan por # y las filas _ayuda / _ejemplo NO se importan.
# En listas usa el carácter | entre valores (ej. jugador1|jugador2).
slug,ign,real_name,team_slug,region,role,status,fantasy_points,fantasy_ownership,rating,bio,photo_url,previous_teams
bobby,bobby,Daniel Levitt,only-realm,NA,Player,active,93,20,1.19,,,
kapi,Kapi,,vic-day,NA,Player,active,93,59,1.04,,,
walkthrough,Walkthrough,,revenant-xspark,EMEA,Player,active,93,65,1.11,,,
marco,Marco,,team-heretics,EMEA,Player,active,92,8,1.18,,,
david,David,,ace-xero,EA,Player,active,92,54,1.23,,,
gun,gun,,enosis-esports,SA,Player,active,92,63,1.13,,,
ope,Ope,Alexis Mangelle,sk-gaming,EMEA,Player,active,91,13,1.07,,,
kellow,Kellow,Lazar Kruscic,metizport,EMEA,Player,active,91,60,1.05,,,
filippo,Filippo,Filippo Xu,novo-esports,EMEA,Player,active,91,46,1.23,,,
nyades,Nyades,,feasible-gaming,EA,Player,active,91,10,1.04,,,
tyrant,Tyrant,Nehal Alam,f-a-homeless,NA,Player,active,91,73,1.08,,,
maury,Maury,Maurizio Tunno,totem-esports,EMEA,Player,active,90,55,1.16,,,
santi,santi,,vic-day,NA,Player,active,90,12,1.11,,,
magic,Magic,,oddyssey,SA,Player,active,90,38,1.11,,,
dede,dede,,kebap,EMEA,Player,active,89,14,1.15,,,
ray092,Ray092,,kebap,EMEA,Player,active,89,48,1.06,,,
sans,Sans,Curtis Whitaker,only-realm,NA,Player,active,89,66,1.1,,,
yoshi,Yoshi,David Cayetano Gómez,sk-gaming,EMEA,Player,active,88,25,1.09,,,
ryohei,Ryohei,,rival-esports,EA,Player,active,88,35,1.05,,,
vegeta,Vegeta,,elevate,NA,Player,active,88,37,1.1400000000000001,,,
b4st,B4st,,enosis-esports,SA,Player,active,88,71,1.19,,,
rhz,Rhz,,skcalalas,SA,Player,active,87,73,1.18,,,
nubis,Nubis,Ruan Marks Lopes de Carvalho,alguem-segura,SA,Player,active,87,29,1.23,,,
bryan,Bryan,Bryan Mella,f-a-zurita-gaming,SA,Player,active,87,21,1.23,,,
hiroshii,Hiroshii,Lim Vi Rey,revenant-xspark,EMEA,Player,active,87,57,1.17,,,
boss,BosS,Bartomeu Vadell Planisi,hmble,EMEA,Player,active,86,31,1.07,,,
wahochi,Wahochi,,insomnia,EA,Player,active,86,54,1.09,,,
pain,PaiN,Irving Axel Garcia Vizcarra,stmn-esports,NA,Player,active,86,18,1.12,,,
rei-do-fut,Rei Do Fut,Natan Maciel Fonseca,bounty-hunters-esports,SA,Player,active,86,18,1.15,,,
ou,OU,王伟,toxic-lotus,EA,Player,active,85,68,1.16,,,
tomz,tomz,,bc-gaming-sa,SA,Player,active,85,51,1.11,,,
darke-san,darke san,,level-esports,SA,Player,active,85,10,1.19,,,
i-see,I see,,fennel,EA,Player,active,84,14,1.25,,,
subeme,Subeme,,team-heretics,EMEA,Player,active,83,27,1.25,,,
danshari,Danshari,,frenzy-esports,EA,Player,active,83,30,1.13,,,
galaxy,Galaxy,,ace-xero,EA,Player,active,83,61,1.08,,,
meow,Meow,,novo-esports,EMEA,Player,active,82,25,1.08,,,
naipishu,Naipishu,,skcalalas-ea,EA,Player,active,82,25,1.26,,,
engine,Engine,唐文偈,toxic-lotus,EA,Player,active,82,39,1.27,,,
juan-carlos,Juan Carlos,Juan Carlos Castelán Parra,stmn-esports,NA,Player,active,82,17,1.06,,,
achapi,Achapi,,fennel,EA,Player,active,81,41,1.27,,,
titan,titan,,level-esports,SA,Player,active,81,50,1.22,,,
yuffy,Yuffy,Yusuf,kebap,EMEA,Player,active,80,8,1.26,,,
nenne,NenNe,노경호,wwl-esports,EA,Player,active,79,70,1.25,,,
belal,Belal,,vatic-esports,NA,Player,active,79,27,1.05,,,
xemp,Xemp,,f-a-homeless,NA,Player,active,79,20,1.25,,,
tufa,Tufa,Rafael Farias Romão,alguem-segura,SA,Player,active,79,43,1.05,,,
redzin,Redzin,Rodrigo Valle,bounty-hunters-esports,SA,Player,active,79,46,1.16,,,
symantec,Symantec,Bekri Tahiri,hmble,EMEA,Player,active,78,67,1.22,,,
battoman,Battoman,,zeta-division,EA,Player,active,78,55,1.16,,,
sennin,Sennin,,acre-lovers,SA,Player,active,78,36,1.15,,,
nowy297,Nowy297,Damian Nowakowski,sk-gaming,EMEA,Player,active,77,23,1.23,,,
drage,Drage,Muhammad Talha Amir,natus-vincere,EMEA,Player,active,77,22,1.28,,,
yoko,Yoko,Dawson Goblet,madridmira,EMEA,Player,active,77,31,1.28,,,
mira,Mira,,frenzy-esports,EA,Player,active,77,53,1.23,,,
rafiki,Rafiki,,legacy-esports,NA,Player,active,77,60,1.24,,,
firecrow,FireCrow,Raphael Lucca,loud,SA,Player,active,77,29,1.07,,,
nob,Nob?,Տիգրան Հարությունյան,fut-esports,EMEA,Player,active,76,55,1.12,,,
diegogamer,Diegogamer,,tribe-gaming,NA,Player,active,76,18,1.09,,,
ezlivi,Ezlivi,Ethan Zachary Livingston,vatic-esports,NA,Player,active,76,53,1.06,,,
patchy,Patchy,Alexander Voigtlander,only-realm,NA,Player,active,76,17,1.19,,,
portox,Portox,Santiago Bellochi,new-heights-gaming,SA,Player,active,76,65,1.09,,,
satisfyer,Satisfyer,,alguem-segura,SA,Player,active,76,68,1.27,,,
dompe,Dompe,Aarón Domínguez Peña,cmm,EMEA,Player,active,75,29,1.06,,,
ferissa,ferissa,,fut-esports-academy,EMEA,Player,active,75,23,1.27,,,
moya,Moya,,crazy-raccoon,EA,Player,active,75,70,1.21,,,
toridesu,Toridesu,,frenzy-esports,EA,Player,active,75,20,1.22,,,
mohtep,Mohtep,Raul Zacheu De Souza,eternal-esports,SA,Player,active,75,73,1.23,,,
maru,Maru,Marwane Lahrache,totem-esports,EMEA,Player,active,74,61,1.15,,,
salty,Salty,Jirí Vilímovský,big,EMEA,Player,active,74,20,1.25,,,
decaii,Decaii,Nemanja Mitrović,metizport,EMEA,Player,active,74,37,1.19,,,
bicho,Bicho,Rafael Valsoler,bounty-hunters-esports,SA,Player,active,74,67,1.15,,,
lenain,LeNain,Yassine Ben Romdhane,natus-vincere,EMEA,Player,active,73,34,1.11,,,
terry,Terry,나성연,novo-esports,EMEA,Player,active,73,54,1.09,,,
cauebr,CaueBR,Caue Felipe da Silva,eternal-esports,SA,Player,active,73,24,1.28,,,
totoron,Totoron,,rival-esports,EA,Player,active,72,33,1.26,,,
kristian,Kristian,Cristian Daniel,skcalalas,SA,Player,active,72,50,1.22,,,
nouthz,Nouthz,Pedro Augusto Dias Lopes Oliveira,level-esports,SA,Player,active,72,66,1.2,,,
tensai,Tensai,,crazy-raccoon,EA,Player,active,71,19,1.08,,,
cookie,Cookie,장우혁,wwl-esports,EA,Player,active,71,59,1.11,,,
og,OG,Matthew Arellano,elevate,NA,Player,active,71,36,1.07,,,
golden,Golden,Pedro Henrique Fernandes Barreto,olimpo-squad,SA,Player,active,70,26,1.24,,,
arthur,ArthuR,,big,EMEA,Player,active,69,10,1.15,,,
levi,Levi,,reject,EA,Player,active,69,27,1.05,,,
snoiy,Snoiy,Gurshan Brar,team-elektros,NA,Player,active,69,73,1.25,,,
kaiodog,KaioDog,Kaio Bernardo Dos Santos,loud,SA,Player,active,69,35,1.26,,,
loko,Loko,Cristóbal Troncoso Mardones,kaioperro,SA,Player,active,69,55,1.05,,,
jene-azure,Jene Azure,,insomnia,EA,Player,active,68,19,1.2,,,
toc,TOC,叶温利,toxic-lotus,EA,Player,active,68,9,1.1400000000000001,,,
doritos,Doritos,Gabriel Davi Nunes da Silva,kaioperro,SA,Player,active,68,21,1.26,,,
icecrow,IceCrow,Pedro Henrique Pereira Golombieski,olimpo-squad,SA,Player,active,68,47,1.28,,,
ikaoss,iKaoss,Ruben del Álamo Expósito,team-heretics,EMEA,Player,active,67,58,1.11,,,
melty,Melty,,reject,EA,Player,active,67,21,1.28,,,
kuru,Kuru,,skcalalas-ea,EA,Player,active,67,64,1.18,,,
wesley,Wesley,Wesley Izalino Da Silva,new-heights-gaming,SA,Player,active,67,23,1.13,,,
brabao,Brabao,Juliano Feliz Grokoski,olimpo-squad,SA,Player,active,67,9,1.17,,,
deykon,Deykon,,enosis-esports,SA,Player,active,67,70,1.12,,,
mica,mica,,bc-gaming-sa,SA,Player,active,67,43,1.08,,,
muri,muri,,acre-lovers,SA,Player,active,67,13,1.13,,,
ciro,ciro,,metizport,EMEA,Player,active,66,21,1.22,,,
sitetampo,Sitetampo,,zeta-division,EA,Player,active,66,20,1.15,,,
zee,Zee,,vatic-esports,NA,Player,active,66,32,1.12,,,
ghost-t,Ghost T,,skcalalas-ea,EA,Player,active,65,18,1.26,,,
koga,Koga,,insomnia,EMEA,Player,active,65,72,1.06,,,
amos,Amos,Youssef Ibnelkadi Espinosa,big,EMEA,Player,active,64,61,1.1,,,
coldrink,Coldrink,,ace-xero,EA,Player,active,64,36,1.19,,,
nes,Nes,Nestor Zhu,big-talents,EMEA,Player,active,63,17,1.04,,,
jusorange,Jusorange,,madridmira,EMEA,Player,active,63,46,1.22,,,
shu,Shu,,reject,EA,Player,active,63,28,1.04,,,
sigemyon,sigemyon,,feasible-gaming,EA,Player,active,63,61,1.12,,,
ken-g,Ken-G,Kenji Oda,fennel,EA,Player,active,63,25,1.19,,,
rbm,RBM,Baltazar Rodriguez Moreno,tribe-gaming,NA,Player,active,63,68,1.24,,,
doin,Doin,Woojin Kim,team-elektros,NA,Player,active,63,34,1.09,,,
edinho,Edinho,Edson Hideki Takahashi,loud,SA,Player,active,63,36,1.08,,,
derrp,Derrp,João Gabriel Menezes Sena,kaioperro,SA,Player,active,63,31,1.1400000000000001,,,
angelboy,Angelboy,Ярослав Лабунец,fut-esports,EMEA,Player,active,62,52,1.09,,,
mine,Mine,Marcin Frysztacki,cmm,EMEA,Player,active,62,18,1.28,,,
memen,Memen,Jesus Emmanuel,team-elektros,NA,Player,active,62,48,1.13,,,
zoulan,Zoulan,Sebastian Andrés Perez,legacy-esports,NA,Player,active,62,72,1.23,,,
zeus,Zeus,,legacy-esports,NA,Player,active,62,15,1.23,,,
prozy,Prozy,Julio Torres,new-heights-gaming,SA,Player,active,62,15,1.18,,,
jubileu,Jubileu,Jean Pablo Gonçalves Santos,eternal-esports,SA,Player,active,62,61,1.17,,,
leo,leo,,bc-gaming-sa,SA,Player,active,62,8,1.23,,,
exic,Exic,Elías Navarrete,f-a-zurita-gaming,SA,Player,active,62,73,1.08,,,
